Coldplay, Arctic Monkeys
Franz Ferdinand, Arctic Monkeys
Kings of Leon, Arctic Monkeys
Kings of Leon, Coldplay
Lady Gaga, Britney Spears
Lady Gaga, Coldplay
Lady Gaga, Ke$ha
Lily Allen, Lady Gaga
MGMT, Arctic Monkeys
Metallica, Iron Maiden
Muse, 30 Seconds to Mars
Muse, Arctic Monkeys
Muse, Coldplay
Muse, Death Cab for Cutie
Muse, Foo Fighters
Muse, Franz Ferdinand
Muse, Green Day
Muse, Incubus
Muse, Kasabian
Muse, Kings of Leon
Muse, Lady Gaga
Muse, Linkin Park
Muse, MGMT
Muse, Metallica
Nirvana, Arctic Monkeys
Nirvana, Coldplay
Nirvana, Foo Fighters
Nirvana, Muse
Oasis, Arctic Monkeys
Oasis, Coldplay
Oasis, Muse
Oasis, Nirvana
Paramore, Lady Gaga
Paramore, Muse
Pearl Jam, Nirvana
Pink Floyd, Led Zeppelin
Pink Floyd, Muse
Placebo, Arctic Monkeys
Placebo, Coldplay
Placebo, Muse
Placebo, Nirvana
Queen, Muse
Radiohead, Arctic Monkeys
Radiohead, Coldplay
Radiohead, David Bowie
Radiohead, Death Cab for Cutie
Radiohead, Foo Fighters
Radiohead, Franz Ferdinand
Radiohead, Kings of Leon
Radiohead, Muse
Radiohead, Nirvana
Radiohead, Oasis
Radiohead, Pearl Jam
Radiohead, Pink Floyd
Radiohead, Placebo
Red Hot Chili Peppers, Coldplay
Red Hot Chili Peppers, Foo Fighters
Red Hot Chili Peppers, Muse
Red Hot Chili Peppers, Nirvana
Red Hot Chili Peppers, Radiohead
Rihanna, Lady Gaga
Snow Patrol, Muse
System of a Down, Metallica
System of a Down, Muse
The Beatles, Arctic Monkeys
The Beatles, Coldplay
The Beatles, David Bowie
The Beatles, Death Cab for Cutie
The Beatles, Franz Ferdinand
The Beatles, Lady Gaga
The Beatles, Led Zeppelin
The Beatles, MGMT
The Beatles, Muse
The Beatles, Nirvana
The Beatles, Oasis
The Beatles, Pink Floyd
The Beatles, Queen
The Beatles, Radiohead
The Beatles, Red Hot Chili Peppers
The Cure, Muse
The Cure, Radiohead
The Killers, Arctic Monkeys
The Killers, Coldplay
The Killers, Kings of Leon
The Killers, Muse
The Killers, Oasis
The Killers, Placebo
The Killers, Radiohead
The Killers, Red Hot Chili Peppers
The Killers, The Beatles
The Kooks, Arctic Monkeys
The Kooks, Muse
The Rolling Stones, The Beatles
The Smiths, Radiohead
The Smiths, The Beatles
The Smiths, The Cure
The Strokes, Arctic Monkeys
The Strokes, Muse
The Strokes, Radiohead
The Strokes, The Beatles
The Strokes, The Killers
